bases.per.probe,segments,cost,type,error
374,1,-0.326115230882168,Signal,E
374,2,-0.610278025256498,Signal,E
374,3,-0.537938961940425,Signal,E
374,4,-0.651414076301134,Signal,E
374,5,-0.834675833185341,Signal,E
374,6,-0.647721896429582,Signal,E
374,7,-0.808740214287615,Signal,E
374,8,-0.790474963734911,Signal,E
374,9,-0.689306446538873,Signal,E
374,10,-0.651530033207251,Signal,E
374,11,-0.600321873312924,Signal,E
374,12,-0.573811405886459,Signal,E
374,13,-0.535734852194289,Signal,E
374,14,-0.512792839222529,Signal,E
374,15,-0.494850555209704,Signal,E
374,16,-0.466478129287423,Signal,E
374,17,-0.459306914134982,Signal,E
374,18,-0.436684645137786,Signal,E
374,19,-0.418305227505856,Signal,E
374,20,-0.404293265485252,Signal,E
374,1,0,Breakpoint,FP
374,2,0,Breakpoint,FP
374,3,0,Breakpoint,FP
374,4,0,Breakpoint,FP
374,5,0,Breakpoint,FP
374,6,0,Breakpoint,FP
374,7,0,Breakpoint,FP
374,8,1,Breakpoint,FP
374,9,2,Breakpoint,FP
374,10,3,Breakpoint,FP
374,11,4,Breakpoint,FP
374,12,5,Breakpoint,FP
374,13,6,Breakpoint,FP
374,14,7,Breakpoint,FP
374,15,8,Breakpoint,FP
374,16,9,Breakpoint,FP
374,17,10,Breakpoint,FP
374,18,11,Breakpoint,FP
374,19,12,Breakpoint,FP
374,20,13,Breakpoint,FP
374,1,6,Breakpoint,FN
374,2,5,Breakpoint,FN
374,3,4,Breakpoint,FN
374,4,3,Breakpoint,FN
374,5,2,Breakpoint,FN
374,6,1,Breakpoint,FN
374,7,0,Breakpoint,FN
374,8,0,Breakpoint,FN
374,9,0,Breakpoint,FN
374,10,0,Breakpoint,FN
374,11,0,Breakpoint,FN
374,12,0,Breakpoint,FN
374,13,0,Breakpoint,FN
374,14,0,Breakpoint,FN
374,15,0,Breakpoint,FN
374,16,0,Breakpoint,FN
374,17,0,Breakpoint,FN
374,18,0,Breakpoint,FN
374,19,0,Breakpoint,FN
374,20,0,Breakpoint,FN
374,1,0,Breakpoint,I
374,2,0.1452,Breakpoint,I
374,3,1.08617527505501,Breakpoint,I
374,4,1.23939059658716,Breakpoint,I
374,5,0.610415321532153,Breakpoint,I
374,6,1.77683788604506,Breakpoint,I
374,7,1.14786261099004,Breakpoint,I
374,8,1.29846261099004,Breakpoint,I
374,9,1.29846261099004,Breakpoint,I
374,10,1.09387225291843,Breakpoint,I
374,11,1.09387225291843,Breakpoint,I
374,12,1.09387225291843,Breakpoint,I
374,13,1.09387225291843,Breakpoint,I
374,14,1.09387225291843,Breakpoint,I
374,15,1.09387225291843,Breakpoint,I
374,16,1.09387225291843,Breakpoint,I
374,17,1.09387225291843,Breakpoint,I
374,18,1.09387225291843,Breakpoint,I
374,19,1.09387225291843,Breakpoint,I
374,20,1.09387225291843,Breakpoint,I
374,1,6,Breakpoint,E
374,2,5.1452,Breakpoint,E
374,3,5.08617527505501,Breakpoint,E
374,4,4.23939059658716,Breakpoint,E
374,5,2.61041532153215,Breakpoint,E
374,6,2.77683788604506,Breakpoint,E
374,7,1.14786261099004,Breakpoint,E
374,8,2.29846261099005,Breakpoint,E
374,9,3.29846261099005,Breakpoint,E
374,10,4.09387225291843,Breakpoint,E
374,11,5.09387225291843,Breakpoint,E
374,12,6.09387225291843,Breakpoint,E
374,13,7.09387225291843,Breakpoint,E
374,14,8.09387225291843,Breakpoint,E
374,15,9.09387225291843,Breakpoint,E
374,16,10.0938722529184,Breakpoint,E
374,17,11.0938722529184,Breakpoint,E
374,18,12.0938722529184,Breakpoint,E
374,19,13.0938722529184,Breakpoint,E
374,20,14.0938722529184,Breakpoint,E
374,1,6,Complete,FN
374,2,5,Complete,FN
374,3,5,Complete,FN
374,4,4,Complete,FN
374,5,2,Complete,FN
374,6,2,Complete,FN
374,7,0,Complete,FN
374,8,0,Complete,FN
374,9,0,Complete,FN
374,10,0,Complete,FN
374,11,0,Complete,FN
374,12,0,Complete,FN
374,13,0,Complete,FN
374,14,0,Complete,FN
374,15,0,Complete,FN
374,16,0,Complete,FN
374,17,0,Complete,FN
374,18,0,Complete,FN
374,19,0,Complete,FN
374,20,0,Complete,FN
374,1,0,Complete,FP
374,2,0,Complete,FP
374,3,1,Complete,FP
374,4,1,Complete,FP
374,5,0,Complete,FP
374,6,1,Complete,FP
374,7,0,Complete,FP
374,8,1,Complete,FP
374,9,2,Complete,FP
374,10,3,Complete,FP
374,11,4,Complete,FP
374,12,5,Complete,FP
374,13,6,Complete,FP
374,14,7,Complete,FP
374,15,8,Complete,FP
374,16,9,Complete,FP
374,17,10,Complete,FP
374,18,11,Complete,FP
374,19,12,Complete,FP
374,20,13,Complete,FP
374,1,6,Complete,E
374,2,5,Complete,E
374,3,6,Complete,E
374,4,5,Complete,E
374,5,2,Complete,E
374,6,3,Complete,E
374,7,0,Complete,E
374,8,1,Complete,E
374,9,2,Complete,E
374,10,3,Complete,E
374,11,4,Complete,E
374,12,5,Complete,E
374,13,6,Complete,E
374,14,7,Complete,E
374,15,8,Complete,E
374,16,9,Complete,E
374,17,10,Complete,E
374,18,11,Complete,E
374,19,12,Complete,E
374,20,13,Complete,E
374,1,3,Incomplete,FN
374,2,3,Incomplete,FN
374,3,2,Incomplete,FN
374,4,2,Incomplete,FN
374,5,1,Incomplete,FN
374,6,1,Incomplete,FN
374,7,0,Incomplete,FN
374,8,0,Incomplete,FN
374,9,0,Incomplete,FN
374,10,0,Incomplete,FN
374,11,0,Incomplete,FN
374,12,0,Incomplete,FN
374,13,0,Incomplete,FN
374,14,0,Incomplete,FN
374,15,0,Incomplete,FN
374,16,0,Incomplete,FN
374,17,0,Incomplete,FN
374,18,0,Incomplete,FN
374,19,0,Incomplete,FN
374,20,0,Incomplete,FN
374,1,0,Incomplete,FP
374,2,0,Incomplete,FP
374,3,0,Incomplete,FP
374,4,0,Incomplete,FP
374,5,0,Incomplete,FP
374,6,0,Incomplete,FP
374,7,0,Incomplete,FP
374,8,1,Incomplete,FP
374,9,2,Incomplete,FP
374,10,3,Incomplete,FP
374,11,4,Incomplete,FP
374,12,4,Incomplete,FP
374,13,6,Incomplete,FP
374,14,6,Incomplete,FP
374,15,7,Incomplete,FP
374,16,6,Incomplete,FP
374,17,9,Incomplete,FP
374,18,8,Incomplete,FP
374,19,9,Incomplete,FP
374,20,9,Incomplete,FP
374,1,3,Incomplete,E
374,2,3,Incomplete,E
374,3,2,Incomplete,E
374,4,2,Incomplete,E
374,5,1,Incomplete,E
374,6,1,Incomplete,E
374,7,0,Incomplete,E
374,8,1,Incomplete,E
374,9,2,Incomplete,E
374,10,3,Incomplete,E
374,11,4,Incomplete,E
374,12,4,Incomplete,E
374,13,6,Incomplete,E
374,14,6,Incomplete,E
374,15,7,Incomplete,E
374,16,6,Incomplete,E
374,17,9,Incomplete,E
374,18,8,Incomplete,E
374,19,9,Incomplete,E
374,20,9,Incomplete,E
374,1,3,Positive,FN
374,2,3,Positive,FN
374,3,2,Positive,FN
374,4,2,Positive,FN
374,5,1,Positive,FN
374,6,1,Positive,FN
