statistic,mean,sd,training.set.profiles,algorithm
errors,2.95478868048167,0.803957795983466,16,cghseg.k
false.positive,1.3224646183425,1.15453848770484,16,cghseg.k
false.negative,11.0632342088378,5.53531815436799,16,cghseg.k
errors,3.15145755614456,1.24724354340155,17,cghseg.k
false.positive,1.39340610271621,1.69094977406678,17,cghseg.k
false.negative,11.8697888608766,7.1337650591047,17,cghseg.k
errors,3.2307915597526,1.27235808581699,18,cghseg.k
false.positive,1.6696418305151,1.92712063380955,18,cghseg.k
false.negative,10.9640279966543,6.16796561009696,18,cghseg.k
errors,2.89234633943529,0.805677543497384,19,cghseg.k
false.positive,1.39049566038663,1.32016339362922,19,cghseg.k
false.negative,10.3400050586241,3.67237862791295,19,cghseg.k
errors,2.98104394527646,0.798676800144847,20,cghseg.k
false.positive,1.45433736229991,1.10886670980036,20,cghseg.k
false.negative,10.5501941765472,5.62252387994532,20,cghseg.k
errors,3.04462570625181,0.972013454670686,21,cghseg.k
false.positive,1.23907527408184,1.12300007298832,21,cghseg.k
false.negative,11.9765568405537,7.01638770419249,21,cghseg.k
errors,2.85559815333003,0.693268597049608,22,cghseg.k
false.positive,1.4305883502019,1.20304360660625,22,cghseg.k
false.negative,9.91358658719316,3.7539473817096,22,cghseg.k
errors,2.75626697892992,0.825502058218328,23,cghseg.k
false.positive,1.22982153370102,1.26576825199183,23,cghseg.k
false.negative,10.3233321602875,3.56300228282956,23,cghseg.k
errors,2.60523500923174,0.380100063723266,24,cghseg.k
false.positive,1.10636867475218,0.755647367729669,24,cghseg.k
false.negative,10.0274624366827,2.58845171914644,24,cghseg.k
errors,2.60523500923174,0.380100063723266,25,cghseg.k
false.positive,1.10636867475218,0.755647367729669,25,cghseg.k
false.negative,10.0274624366827,2.58845171914644,25,cghseg.k
errors,2.78928379476688,0.692177966823612,26,cghseg.k
false.positive,1.28884524263844,0.96002297030313,26,cghseg.k
false.negative,10.2254637523332,4.70268266017088,26,cghseg.k
errors,2.95317746572941,0.711539449619216,27,cghseg.k
false.positive,1.70083614291049,1.28118322668107,27,cghseg.k
false.negative,9.17200084755974,3.03009366571981,27,cghseg.k
errors,2.6701043881174,0.57219857910956,28,cghseg.k
false.positive,0.967790644135727,0.673220428685803,28,cghseg.k
false.negative,11.1219788494484,4.50665649457936,28,cghseg.k
errors,2.62837448800534,0.628495920443179,29,cghseg.k
false.positive,1.08304367111037,0.969017701213854,29,cghseg.k
false.negative,10.2831501549463,3.16732189168133,29,cghseg.k
errors,2.62837448800534,0.628495920443179,30,cghseg.k
false.positive,1.08304367111037,0.969017701213854,30,cghseg.k
false.negative,10.2831501549463,3.16732189168133,30,cghseg.k
errors,13.3966572562867,10.9627147105412,1,flsa.norm
false.positive,14.1447413633756,14.3653542665968,1,flsa.norm
false.negative,9.69229883099492,11.4221266041243,1,flsa.norm
errors,7.89162912877408,4.03324523784184,2,flsa.norm
false.positive,6.32468933622315,6.2590390571356,2,flsa.norm
false.negative,15.6681050273468,13.5806980473571,2,flsa.norm
errors,7.10602484905047,3.23439117346694,3,flsa.norm
false.positive,4.82512374117969,5.20430994249584,3,flsa.norm
false.negative,18.4212525498764,13.8548113180257,3,flsa.norm
errors,6.67803089104397,2.26597783393278,4,flsa.norm
false.positive,4.05391681578579,3.9417018986092,4,flsa.norm
false.negative,19.6863161550172,14.0375380467628,4,flsa.norm
errors,6.5370721508656,2.12370512051905,5,flsa.norm
false.positive,3.90746074157737,3.69734605099828,5,flsa.norm
false.negative,19.5503498939358,13.7270667924913,5,flsa.norm
errors,6.38721530601489,1.79473942337907,6,flsa.norm
false.positive,3.43120637233627,3.25829557485692,6,flsa.norm
false.negative,21.0236747033775,13.5326101700426,6,flsa.norm
errors,6.17057866479217,1.72635409790872,7,flsa.norm
false.positive,3.02085820993738,2.68796537204523,7,flsa.norm
false.negative,21.7707926183419,14.1545109943011,7,flsa.norm
errors,5.97433798106462,1.4237195931425,8,flsa.norm
false.positive,2.97257880568233,2.50626195797255,8,flsa.norm
false.negative,20.8341927023799,11.9739755854826,8,flsa.norm
errors,5.96460214425411,1.50002381725113,9,flsa.norm
false.positive,3.23107211293648,2.67657789630046,9,flsa.norm
false.negative,19.5031179304404,11.4439547533317,9,flsa.norm
errors,6.11301820841894,1.74099244968617,10,flsa.norm
false.positive,3.19701763689475,2.67411097542033,10,flsa.norm
false.negative,20.5142622341707,13.8110755949008,10,flsa.norm
errors,5.83140795136889,1.32278343912405,11,flsa.norm
false.positive,2.58284312887851,2.03807129304083,11,flsa.norm
false.negative,21.9059284229816,12.117968787297,11,flsa.norm
errors,6.01313139428894,1.55384514287172,12,flsa.norm
false.positive,3.17116576952159,2.79391742193899,12,flsa.norm
false.negative,20.0647734988567,11.5523194591111,12,flsa.norm
errors,5.91269311903429,1.28837419721447,13,flsa.norm
false.positive,3.0519491939196,2.45609805927807,13,flsa.norm
false.negative,20.0401748182395,10.8588553289653,13,flsa.norm
errors,5.63343207705883,1.05123427958358,14,flsa.norm
false.positive,2.74216580416782,2.02387317179406,14,flsa.norm
false.negative,19.9490271047068,9.46387388694676,14,flsa.norm
errors,5.86231613644258,1.2599331364521,15,flsa.norm
false.positive,2.70278875311794,1.96142747623472,15,flsa.norm
false.negative,21.4545402266312,12.1604084538647,15,flsa.norm
errors,5.62603914769466,0.993172199814606,16,flsa.norm
false.positive,3.06037128995488,2.09052095342452,16,flsa.norm
false.negative,18.3304210789765,8.22711800601813,16,flsa.norm
errors,5.58698863959579,0.811887989117391,17,flsa.norm
false.positive,2.46000135990681,1.47700431080611,17,flsa.norm
false.negative,21.0511301491251,9.76915529526137,17,flsa.norm
errors,5.75392746765717,0.947743577795086,18,flsa.norm
false.positive,2.97867503188755,2.12009299602303,18,flsa.norm
false.negative,19.4894507058191,9.71654587146802,18,flsa.norm
errors,5.40850586858102,0.592052744598091,19,flsa.norm
false.positive,2.21080622508964,1.13613961306069,19,flsa.norm
false.negative,21.2410109055589,7.92570825446594,19,flsa.norm
errors,5.38559566236625,0.526106386944871,20,flsa.norm
false.positive,2.49568318445361,1.26265935280612,20,flsa.norm
false.negative,19.7031244460829,7.59311648596356,20,flsa.norm
errors,5.27856678737874,0.43626401852777,21,flsa.norm
false.positive,2.70911202542217,1.26120854060353,21,flsa.norm
false.negative,17.9975196959103,6.34921308724101,21,flsa.norm
errors,5.33062529090932,0.579519045403638,22,flsa.norm
false.positive,2.60930702917917,1.33096088551246,22,flsa.norm
false.negative,18.7929816612241,7.13886381831846,22,flsa.norm
errors,5.42229746407286,0.671844797114708,23,flsa.norm
false.positive,2.28414317233248,1.13757995725685,23,flsa.norm
false.negative,20.9750223293026,8.54484080795008,23,flsa.norm
errors,5.64781548930853,1.13714223243478,24,flsa.norm
false.positive,3.22643373953926,2.3717667443345,24,flsa.norm
false.negative,17.6549852669734,7.34284258022203,24,flsa.norm
errors,5.64781548930853,1.13714223243478,25,flsa.norm
false.positive,3.22643373953926,2.3717667443345,25,flsa.norm
false.negative,17.6549852669734,7.34284258022203,25,flsa.norm
errors,5.43331819029679,0.613674005922944,26,flsa.norm
false.positive,2.85157815962049,1.53377965513722,26,flsa.norm
false.negative,18.189675683678,7.2201813949697,26,flsa.norm
errors,5.31871937906994,0.557560852839048,27,flsa.norm
false.positive,2.85180777719692,1.42579774382697,27,flsa.norm
false.negative,17.519713207604,6.19776203574617,27,flsa.norm
errors,5.18157650972246,0.3392447370024,28,flsa.norm
false.positive,2.51725302300992,1.04621954897518,28,flsa.norm
false.negative,18.3981530591708,5.03140262848577,28,flsa.norm
errors,5.21904560897045,0.356599195461057,29,flsa.norm
false.positive,2.71990257845516,1.16238372947158,29,flsa.norm
false.negative,17.5761807869761,4.93687454840421,29,flsa.norm
errors,5.21904560897045,0.356599195461057,30,flsa.norm
false.positive,2.71990257845516,1.16238372947158,30,flsa.norm
false.negative,17.5761807869761,4.93687454840421,30,flsa.norm
errors,15.2139271868976,5.66233138949951,1,dnacopy.sd
false.positive,10.9572848525639,10.5283043558547,1,dnacopy.sd
false.negative,36.3335264862487,27.4536678736912,1,dnacopy.sd
errors,14.2472692684,4.52121082507976,2,dnacopy.sd
false.positive,9.46127797152416,8.77792857336474,2,dnacopy.sd
false.negative,37.9651022774316,25.7601904114545,2,dnacopy.sd
errors,13.6776115932936,3.10459577406022,3,dnacopy.sd
false.positive,7.79671962010641,7.07442496768121,3,dnacopy.sd
false.negative,42.7930700656417,26.4621882626445,3,dnacopy.sd
errors,13.6563491560429,3.22936108295469,4,dnacopy.sd
false.positive,7.91355343493792,7.15932815987068,4,dnacopy.sd
false.negative,42.0981105374657,25.4644814634144,4,dnacopy.sd
errors,13.4371401198703,2.59463822226407,5,dnacopy.sd
false.positive,6.91589846340504,6.29391722484565,5,dnacopy.sd
false.negative,45.7222265699874,25.8076200129472,5,dnacopy.sd
errors,13.1176059839883,2.29332569809655,6,dnacopy.sd
false.positive,6.91123958863254,5.58497761413755,6,dnacopy.sd
false.negative,43.8192695579273,23.838550169455,6,dnacopy.sd
errors,13.1616592297693,2.16081019269203,7,dnacopy.sd
false.positive,6.55660857738496,5.41933436987993,7,dnacopy.sd
false.negative,45.8580506158084,26.0229812576982,7,dnacopy.sd
errors,13.0693944277552,1.83456070411618,8,dnacopy.sd
false.positive,5.29153698250719,4.50722125608726,8,dnacopy.sd
false.negative,51.5654797535489,23.3407947006421,8,dnacopy.sd
errors,12.9557645984485,1.63591296404174,9,dnacopy.sd
false.positive,5.57630662762001,4.25892775319262,9,dnacopy.sd
false.negative,49.4877914858755,24.6498916581922,9,dnacopy.sd
errors,13.04991356591,1.94450356144648,10,dnacopy.sd
false.positive,6.01653613722687,4.89328947628067,10,dnacopy.sd
false.negative,47.835249583382,24.3402242322468,10,dnacopy.sd
errors,13.1413676800306,2.03783354911186,11,dnacopy.sd
false.positive,5.97510955085782,5.07661963639787,11,dnacopy.sd
false.negative,48.5580113229825,25.474885301183,11,dnacopy.sd
errors,12.8502092242511,1.33194532318395,12,dnacopy.sd
false.positive,5.26015623150883,3.60285302473512,12,dnacopy.sd
false.negative,50.342060060952,24.6995606159287,12,dnacopy.sd
errors,13.0335189041057,1.72728914965441,13,dnacopy.sd
false.positive,6.02149515923396,4.65318244109758,13,dnacopy.sd
false.negative,47.6927230191694,25.6168566670421,13,dnacopy.sd
errors,12.7378486412943,1.22995030470185,14,dnacopy.sd
false.positive,5.73049584571794,3.62289061723938,14,dnacopy.sd
false.negative,47.3881570775701,24.0949453534888,14,dnacopy.sd
errors,13.0738128600933,1.94231012041991,15,dnacopy.sd
false.positive,5.71921298640948,4.69371853839768,15,dnacopy.sd
false.negative,49.3811387683142,25.6178869086102,15,dnacopy.sd
errors,12.9504304152422,1.85404890131188,16,dnacopy.sd
false.positive,6.0429123547258,4.63298732720063,16,dnacopy.sd
false.negative,47.0986790316642,23.687956314372,16,dnacopy.sd
errors,12.7520338398379,1.2989958033076,17,dnacopy.sd
false.positive,5.91897372018695,3.76670778367418,17,dnacopy.sd
false.negative,46.487625018384,25.2529527648159,17,dnacopy.sd
errors,12.6046560359624,1.19943435419307,18,dnacopy.sd
false.positive,5.57343928213102,3.23227296636012,18,dnacopy.sd
false.negative,47.3643868769547,21.9500912810175,18,dnacopy.sd
errors,13.0155569519577,1.93215646892602,19,dnacopy.sd
false.positive,7.04751440319507,5.06465080335779,19,dnacopy.sd
false.negative,42.3421576139725,25.9799212456927,19,dnacopy.sd
errors,12.5935608160336,1.22744621359898,20,dnacopy.sd
false.positive,5.86365248483111,3.37817355331839,20,dnacopy.sd
false.negative,45.7801556217961,22.43774985301,20,dnacopy.sd
errors,12.5568316069465,1.04670517266717,21,dnacopy.sd
false.positive,6.30271935413335,3.43905391940234,21,dnacopy.sd
false.negative,43.4210237979666,21.7029972968317,21,dnacopy.sd
errors,12.5314063687749,1.06040538343265,22,dnacopy.sd
false.positive,5.79197364651625,3.14170420230591,22,dnacopy.sd
false.negative,45.8117089162884,20.6664883324701,22,dnacopy.sd
errors,12.587570759565,1.38347947921829,23,dnacopy.sd
false.positive,6.14957746353643,3.54463387872525,23,dnacopy.sd
false.negative,44.3614153741579,24.4193341885647,23,dnacopy.sd
errors,12.3225284201508,0.965193324847597,24,dnacopy.sd
false.positive,5.88124552711122,2.7847599120692,24,dnacopy.sd
false.negative,44.1305942412569,18.2678479032636,24,dnacopy.sd
errors,12.3225284201508,0.965193324847597,25,dnacopy.sd
false.positive,5.88124552711122,2.7847599120692,25,dnacopy.sd
false.negative,44.1305942412569,18.2678479032636,25,dnacopy.sd
errors,12.4844991782375,1.22893514975676,26,dnacopy.sd
false.positive,6.28858246260743,3.43632390126857,26,dnacopy.sd
false.negative,43.0842510515933,22.9958541536472,26,dnacopy.sd
errors,12.7673200782492,1.40474091122051,27,dnacopy.sd
false.positive,5.36828021502901,3.32275637502257,27,dnacopy.sd
false.negative,49.2323500256705,23.546996501358,27,dnacopy.sd
errors,12.7912923157531,1.26059555796218,28,dnacopy.sd
false.positive,5.18438627196898,3.3289314454031,28,dnacopy.sd
false.negative,50.3585983251312,22.66966496648,28,dnacopy.sd
errors,12.5510596798766,1.31634481365804,29,dnacopy.sd
false.positive,6.08768588203399,3.395144660499,29,dnacopy.sd
false.negative,44.3802404748455,22.9541276381173,29,dnacopy.sd
errors,12.5510596798766,1.31634481365804,30,dnacopy.sd
false.positive,6.08768588203399,3.395144660499,30,dnacopy.sd
false.negative,44.3802404748455,22.9541276381173,30,dnacopy.sd
errors,17.6337953999875,4.7924715477282,1,glad.lambdabreak
false.positive,17.9932148912158,7.91145056145825,1,glad.lambdabreak
false.negative,15.8475682424785,15.6172600161881,1,glad.lambdabreak
errors,16.5969980706955,3.92578031897741,2,glad.lambdabreak
false.positive,16.1941421482532,6.96501807954611,2,glad.lambdabreak
false.negative,18.5765898400929,16.5068988022179,2,glad.lambdabreak
errors,15.9981360162655,3.42840069596209,3,glad.lambdabreak
false.positive,15.0659560566514,6.37698991798698,3,glad.lambdabreak
false.negative,20.5898274817324,16.7446819623667,3,glad.lambdabreak
errors,15.4449522076416,2.68597288439935,4,glad.lambdabreak
false.positive,13.6241341604518,5.64709161346094,4,glad.lambdabreak
false.negative,24.4444798955755,17.7311108986222,4,glad.lambdabreak
errors,15.2328265942348,2.19821736565666,5,glad.lambdabreak
false.positive,13.1772921945278,5.12547686712876,5,glad.lambdabreak
false.negative,25.3662073997082,18.1917673311675,5,glad.lambdabreak
errors,15.4957905274366,2.27680675765856,6,glad.lambdabreak
false.positive,14.0115527012575,5.2695237650373,6,glad.lambdabreak
false.negative,22.7785437491981,17.9623204579844,6,glad.lambdabreak
errors,15.2020405179803,2.00459665394546,7,glad.lambdabreak
false.positive,13.1537334506924,4.96033306097348,7,glad.lambdabreak
false.negative,25.3231277398229,17.9420121096074,7,glad.lambdabreak
errors,14.9304940964964,1.94273417440886,8,glad.lambdabreak
false.positive,12.6309897534967,4.66717817592699,8,glad.lambdabreak
false.negative,26.287927924389,16.6988122413,8,glad.lambdabreak
errors,14.9354668278978,2.27986194082307,9,glad.lambdabreak
false.positive,13.0279073360086,4.85571403217542,9,glad.lambdabreak
false.negative,24.3752641318354,16.7558161915684,9,glad.lambdabreak
errors,14.9204071699443,2.00122103617876,10,glad.lambdabreak
false.positive,12.7314958535685,4.67594511647924,10,glad.lambdabreak
false.negative,25.6636974364072,17.314782949214,10,glad.lambdabreak
errors,14.5360780076817,1.09026341391551,11,glad.lambdabreak
false.positive,12.4671854559417,3.59451121760433,11,glad.lambdabreak
false.negative,24.7599855899441,16.5392918289699,11,glad.lambdabreak
errors,14.6772713358058,1.84131079328903,12,glad.lambdabreak
false.positive,11.6742500899903,4.28287754491189,12,glad.lambdabreak
false.negative,29.5152043274013,17.5184017415381,12,glad.lambdabreak
errors,14.4093249274648,1.07135247333353,13,glad.lambdabreak
false.positive,12.2195146655752,3.4136651366779,13,glad.lambdabreak
false.negative,25.2042523835639,15.9423191502436,13,glad.lambdabreak
errors,14.5626884053763,1.04054755200515,14,glad.lambdabreak
false.positive,12.2950098957108,3.61843734853406,14,glad.lambdabreak
false.negative,25.7417746504925,17.213272168749,14,glad.lambdabreak
errors,14.6631903314467,1.254211541667,15,glad.lambdabreak
false.positive,11.9948487667247,3.8557212449201,15,glad.lambdabreak
false.negative,27.7639396686928,17.606965357922,15,glad.lambdabreak
errors,14.4638444659351,0.915970912187497,16,glad.lambdabreak
false.positive,11.7680811931583,3.39859612447543,16,glad.lambdabreak
false.negative,27.7683554566214,17.1185688319856,16,glad.lambdabreak
errors,14.7766960817562,2.14775692382297,17,glad.lambdabreak
false.positive,12.512937063345,4.60235081341545,17,glad.lambdabreak
false.negative,25.8877249707007,16.9148471793009,17,glad.lambdabreak
errors,14.6944747964992,1.6015971557793,18,glad.lambdabreak
false.positive,12.4742849271167,4.17967347251721,18,glad.lambdabreak
false.negative,25.6231668902356,16.5196872072003,18,glad.lambdabreak
errors,14.5131812512764,1.20426088026601,19,glad.lambdabreak
false.positive,12.0171221976447,3.6553641744405,19,glad.lambdabreak
false.negative,26.7449659725717,16.4924609840674,19,glad.lambdabreak
errors,14.4687734767057,0.917873356698632,20,glad.lambdabreak
false.positive,12.2165523520226,3.39570025092804,20,glad.lambdabreak
false.negative,25.5334764444922,16.0328292117786,20,glad.lambdabreak
errors,14.5935956808208,1.52724951656115,21,glad.lambdabreak
false.positive,11.782167186684,3.93625974034269,21,glad.lambdabreak
false.negative,28.3809665983315,15.5913485427004,21,glad.lambdabreak
errors,14.3370392008137,0.877812717251189,22,glad.lambdabreak
false.positive,12.3214755994585,3.17784968071618,22,glad.lambdabreak
false.negative,24.2334439755218,15.9268760029036,22,glad.lambdabreak
errors,14.3651096868958,0.855951825604745,23,glad.lambdabreak
false.positive,12.1823375616235,3.1686577909065,23,glad.lambdabreak
false.negative,25.1029619137829,16.3117493893273,23,glad.lambdabreak
errors,14.0857835715572,0.709115412803473,24,glad.lambdabreak
false.positive,11.5310016224259,2.69806341452869,24,glad.lambdabreak
false.negative,26.6859923579007,14.1272693080376,24,glad.lambdabreak
errors,14.0857835715572,0.709115412803473,25,glad.lambdabreak
false.positive,11.5310016224259,2.69806341452869,25,glad.lambdabreak
false.negative,26.6859923579007,14.1272693080376,25,glad.lambdabreak
errors,14.1880890019395,0.700977360423317,26,glad.lambdabreak
false.positive,12.2267248193324,2.83779153759322,26,glad.lambdabreak
false.negative,23.8284672033553,14.2126478723369,26,glad.lambdabreak
errors,14.3415639218931,0.665382271230793,27,glad.lambdabreak
false.positive,11.9273883732929,3.14566562179747,27,glad.lambdabreak
false.negative,26.2089784551812,16.4966440589194,27,glad.lambdabreak
errors,14.1123653923578,0.728119237563343,28,glad.lambdabreak
false.positive,12.3217000754954,2.76435152756435,28,glad.lambdabreak
false.negative,22.9185326985998,13.1048665135689,28,glad.lambdabreak
errors,14.3928296217016,1.05938292835338,29,glad.lambdabreak
false.positive,11.3343389917622,3.27141949094517,29,glad.lambdabreak
false.negative,29.2932789917841,16.7126249345637,29,glad.lambdabreak
errors,14.3928296217016,1.05938292835338,30,glad.lambdabreak
false.positive,11.3343389917622,3.27141949094517,30,glad.lambdabreak
false.negative,29.2932789917841,16.7126249345637,30,glad.lambdabreak
