statistic,mean,sd,training.set.profiles,algorithm
errors,12.6761766418039,11.4953975091418,1,cghseg.k
false.positive,14.1485435364969,14.6154043901837,1,cghseg.k
false.negative,5.38570292888969,7.61479083997059,1,cghseg.k
errors,6.69054242913151,5.7707448776366,2,cghseg.k
false.positive,6.23022978396961,7.83294335030908,2,cghseg.k
false.negative,8.98889226467366,9.0940845324199,2,cghseg.k
errors,5.03751111426401,4.0303224287508,3,cghseg.k
false.positive,3.97961907175301,5.60696619035478,3,cghseg.k
false.negative,10.2912345771923,8.52249793311433,3,cghseg.k
errors,4.48439004542557,2.76644240600956,4,cghseg.k
false.positive,2.99936202396351,3.94955674352321,4,cghseg.k
false.negative,11.8506273046023,10.3340667610437,4,cghseg.k
errors,4.03075613110715,2.29447766943741,5,cghseg.k
false.positive,2.23121855932487,3.20344237597519,5,cghseg.k
false.negative,12.9500592802839,9.92691400475837,5,cghseg.k
errors,4.30936088448202,2.81578056186822,6,cghseg.k
false.positive,2.60176091084799,3.88020772192269,6,cghseg.k
false.negative,12.7647767577744,11.1254908097635,6,cghseg.k
errors,3.55704794111358,1.69808998920894,7,cghseg.k
false.positive,1.96552512070029,2.33892325094909,7,cghseg.k
false.negative,11.4436388733537,8.4588769359462,7,cghseg.k
errors,3.58808405248595,1.56225769377594,8,cghseg.k
false.positive,1.62417104990951,2.08034903535169,8,cghseg.k
false.negative,13.311528374174,9.26276755862453,8,cghseg.k
errors,3.25773005480605,1.19430650135047,9,cghseg.k
false.positive,1.82555374219324,1.94109966943006,9,cghseg.k
false.negative,10.364650544671,5.1025839239614,9,cghseg.k
errors,3.38020215510158,1.38526588484705,10,cghseg.k
false.positive,1.59952194705929,1.82020584346624,10,cghseg.k
false.negative,12.1931982379695,8.3298648051754,10,cghseg.k
errors,3.26463210490893,1.51322007103314,11,cghseg.k
false.positive,1.79030897331916,2.33249344763119,11,cghseg.k
false.negative,10.5699358226278,5.08618829947284,11,cghseg.k
errors,3.22847810224018,1.26288054393319,12,cghseg.k
false.positive,1.47894869296762,1.53270937087866,12,cghseg.k
false.negative,11.8969722030346,8.11200495598824,12,cghseg.k
errors,3.14222640967687,1.1150511731549,13,cghseg.k
false.positive,1.66561356852779,1.57889835821698,13,cghseg.k
false.negative,10.4617734149208,6.24836494457151,13,cghseg.k
errors,3.11224077705461,1.45773783738357,14,cghseg.k
false.positive,1.67506373293186,2.20777934628692,14,cghseg.k
false.negative,10.233041853774,4.36302761748812,14,cghseg.k
errors,3.41042893480876,1.54360891449297,15,cghseg.k
false.positive,1.71247739893675,2.25268395237957,15,cghseg.k
false.negative,11.7927595558024,7.01613824913619,15,cghseg.k
